LABM_CODE,LABP_CODE,LABM_NAME,LABM_SHORT_NAME,LABM_UNITS,base uri,unique uri,preflabel,pref2,pref final
10_BC,SULFUR,"Bicarbonate-extractable sulfur. Keay, Menage and Dean (1972)",Extractable S,?,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10_BC,',@en,'10_BC'@en
10_HCL,SULFUR,Total element - S(%) - By boiling HCl,Total S (HCl),%,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10_HCL,',@en,'10_HCL'@en
10A_HF+,SULFUR,Total element - S(%) - HF/HCl04 Digest,Total S (HF/HC104),%,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10A_HF+,',@en,'10A_HF+'@en
10A_NR,SULFUR,Total element - S(%) - Not recorded,Total S,%,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10A_NR,',@en,'10A_NR'@en
10A1,SULFUR,Total sulfur - X-ray fluorescence,Total S,%,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10A1,',@en,'10A1'@en
10B,SULFUR,Extractable sulfur(mg/kg) - Phosphate extractable sulfur,Phosphate ext. S,mg/kg,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10B,',@en,'10B'@en
10B_NR,SULFUR,Extractable sulfur(mg/kg) - Not recorded,Extractable S,mg/kg,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10B_NR,',@en,'10B_NR'@en
10B1,SULFUR,Calcium phosphate-extractable sulfur - manual distillation,Extractable S,mg/kg,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10B1,',@en,'10B1'@en
10B2,SULFUR,Calcium phosphate-extractable sulfur - automated distillation,Extractable S,mg/kg,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10B2,',@en,'10B2'@en
10B3,SULFUR,Calcium phosphate-extractable sulfur - ICPAES,Extractable S,mg/kg,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10B3,',@en,'10B3'@en
10C2,SULFUR,0.25M KCl at 40 degrees celcius,Extractable S,%,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/10C2,',@en,'10C2'@en
11A1,GYPSUM,Total gypsum,Total Gypsum,%,http://registry.it.csiro.au/def/soils/lab-methods/,http://registry.it.csiro.au/def/soils/lab-methods/11A1,',@en,'11A1'@en
