CODE_DOMAIN,CODE_VALUE,CODE_DESC,uri,uri2,uri3,uri4,preflabel,preflabel2,preflabel3
C_O_ASC,AA,Red,http://registry.it.csiro.au/def/soils/asc/,red,red,http://registry.it.csiro.au/def/soils/asc/red,"""",@en,"""Red""@en"
C_O_ASC,AB,Brown,http://registry.it.csiro.au/def/soils/asc/,brown,brown,http://registry.it.csiro.au/def/soils/asc/brown,"""",@en,"""Brown""@en"
C_O_ASC,AC,Yellow,http://registry.it.csiro.au/def/soils/asc/,yellow,yellow,http://registry.it.csiro.au/def/soils/asc/yellow,"""",@en,"""Yellow""@en"
C_O_ASC,AD,Grey,http://registry.it.csiro.au/def/soils/asc/,grey,grey,http://registry.it.csiro.au/def/soils/asc/grey,"""",@en,"""Grey""@en"
C_O_ASC,AE,Black,http://registry.it.csiro.au/def/soils/asc/,black,black,http://registry.it.csiro.au/def/soils/asc/black,"""",@en,"""Black""@en"
C_O_ASC,AF,Dystrophic,http://registry.it.csiro.au/def/soils/asc/,dystrophic,dystrophic,http://registry.it.csiro.au/def/soils/asc/dystrophic,"""",@en,"""Dystrophic""@en"
C_O_ASC,AG,Mesotrophic,http://registry.it.csiro.au/def/soils/asc/,mesotrophic,mesotrophic,http://registry.it.csiro.au/def/soils/asc/mesotrophic,"""",@en,"""Mesotrophic""@en"
C_O_ASC,AH,Eutrophic,http://registry.it.csiro.au/def/soils/asc/,eutrophic,eutrophic,http://registry.it.csiro.au/def/soils/asc/eutrophic,"""",@en,"""Eutrophic""@en"
C_O_ASC,AI,Acidic,http://registry.it.csiro.au/def/soils/asc/,acidic,acidic,http://registry.it.csiro.au/def/soils/asc/acidic,"""",@en,"""Acidic""@en"
C_O_ASC,AJ,Acidic-Mottled,http://registry.it.csiro.au/def/soils/asc/,acidic-mottled,acidic-mottled,http://registry.it.csiro.au/def/soils/asc/acidic-mottled,"""",@en,"""Acidic-Mottled""@en"
C_O_ASC,AK,Andic,http://registry.it.csiro.au/def/soils/asc/,andic,andic,http://registry.it.csiro.au/def/soils/asc/andic,"""",@en,"""Andic""@en"
C_O_ASC,AL,Aeric,http://registry.it.csiro.au/def/soils/asc/,aeric,aeric,http://registry.it.csiro.au/def/soils/asc/aeric,"""",@en,"""Aeric""@en"
C_O_ASC,AM,Aquic,http://registry.it.csiro.au/def/soils/asc/,aquic,aquic,http://registry.it.csiro.au/def/soils/asc/aquic,"""",@en,"""Aquic""@en"
C_O_ASC,AN,Anthroposols,http://registry.it.csiro.au/def/soils/asc/,anthroposols,anthroposols,http://registry.it.csiro.au/def/soils/asc/anthroposols,"""",@en,"""Anthroposols""@en"
C_O_ASC,AO,Arenic,http://registry.it.csiro.au/def/soils/asc/,arenic,arenic,http://registry.it.csiro.au/def/soils/asc/arenic,"""",@en,"""Arenic""@en"
C_O_ASC,AP,Argic,http://registry.it.csiro.au/def/soils/asc/,argic,argic,http://registry.it.csiro.au/def/soils/asc/argic,"""",@en,"""Argic""@en"
C_O_ASC,AQ,Argillaceous,http://registry.it.csiro.au/def/soils/asc/,argillaceous,argillaceous,http://registry.it.csiro.au/def/soils/asc/argillaceous,"""",@en,"""Argillaceous""@en"
C_O_ASC,AR,Basic,http://registry.it.csiro.au/def/soils/asc/,basic,basic,http://registry.it.csiro.au/def/soils/asc/basic,"""",@en,"""Basic""@en"
C_O_ASC,AS,Bauxitic,http://registry.it.csiro.au/def/soils/asc/,bauxitic,bauxitic,http://registry.it.csiro.au/def/soils/asc/bauxitic,"""",@en,"""Bauxitic""@en"
C_O_ASC,AT,Bleached,http://registry.it.csiro.au/def/soils/asc/,bleached,bleached,http://registry.it.csiro.au/def/soils/asc/bleached,"""",@en,"""Bleached""@en"
C_O_ASC,AU,Bleached-Acidic,http://registry.it.csiro.au/def/soils/asc/,bleached-acidic,bleached-acidic,http://registry.it.csiro.au/def/soils/asc/bleached-acidic,"""",@en,"""Bleached-Acidic""@en"
C_O_ASC,AV,Bleached-Ferric,http://registry.it.csiro.au/def/soils/asc/,bleached-ferric,bleached-ferric,http://registry.it.csiro.au/def/soils/asc/bleached-ferric,"""",@en,"""Bleached-Ferric""@en"
C_O_ASC,AW,Bleached-Leptic,http://registry.it.csiro.au/def/soils/asc/,bleached-leptic,bleached-leptic,http://registry.it.csiro.au/def/soils/asc/bleached-leptic,"""",@en,"""Bleached-Leptic""@en"
C_O_ASC,AX,Bleached-Magnesic,http://registry.it.csiro.au/def/soils/asc/,bleached-magnesic,bleached-magnesic,http://registry.it.csiro.au/def/soils/asc/bleached-magnesic,"""",@en,"""Bleached-Magnesic""@en"
C_O_ASC,AY,Bleached-Manganic,http://registry.it.csiro.au/def/soils/asc/,bleached-manganic,bleached-manganic,http://registry.it.csiro.au/def/soils/asc/bleached-manganic,"""",@en,"""Bleached-Manganic""@en"
C_O_ASC,AZ,Bleached-Mottled,http://registry.it.csiro.au/def/soils/asc/,bleached-mottled,bleached-mottled,http://registry.it.csiro.au/def/soils/asc/bleached-mottled,"""",@en,"""Bleached-Mottled""@en"
C_O_ASC,BA,Bleached-Sodic,http://registry.it.csiro.au/def/soils/asc/,bleached-sodic,bleached-sodic,http://registry.it.csiro.au/def/soils/asc/bleached-sodic,"""",@en,"""Bleached-Sodic""@en"
