@id,dct:created,dct:description,dct:modified,rdf:type,rdfs:label,rdfs:seeAlso,skos:altLabel,skos:broader,skos:closeMatch,skos:definition,skos:inScheme,skos:narrower,skos:prefLabel,skos:related,skos:relatedMatch,skos:topConceptOf
<http://registry.it.csiro.au/def/agldwg/agift/accommodation-services>,'2003-08-28'^^xsd:date,"'Developing policy to support the provision of housing to those in need. Establishing eligibility criteria for services. Developing strategies to assist specific community groups at risk of homelessness. Includes liaison with areas responsible for public housing construction, to determine short-term and long-term community housing needs.
	
See also CIVIC INFRASTRUCTURE - Public housing: for the design, construction and maintenance of public housing.

See also IMMIGRATION - Migrant services - Migrant accommodation services: for assisting new immigrants to locate housing.'@en",'2005-03-09'^^xsd:date,skos:Concept,'Accommodation services'@en,,'Homelessness support'@en|'Housing services'@en|'Public housing services'@en|'Indigenous housing'@en,<http://registry.it.csiro.au/def/agldwg/agift/community-services>,,"'Developing policy to support the provision of housing to those in need. Establishing eligibility criteria for services. Developing strategies to assist specific community groups at risk of homelessness. Includes liaison with areas responsible for public housing construction, to determine short-term and long-term community housing needs.

See also CIVIC INFRASTRUCTURE - Public housing: for the design, construction and maintenance of public housing.

See also IMMIGRATION - Migrant services - Migrant accommodation services: for assisting new immigrants to locate housing.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/refuge-support>|<http://registry.it.csiro.au/def/agldwg/agift/public-housing-entitlements>|<http://registry.it.csiro.au/def/agldwg/agift/defence-housing>|<http://registry.it.csiro.au/def/agldwg/agift/emergency-accommodation>,'Accommodation services'@en,<http://registry.it.csiro.au/def/agldwg/agift/public-housing>|<http://registry.it.csiro.au/def/agldwg/agift/migrant-accommodation-services>,,
<http://registry.it.csiro.au/def/agldwg/agift/administrative-decision-appeal>,'2003-08-25'^^xsd:date,"'Developing processes to support applications to an independent authority to have a determination or judgement reviewed. Includes activities associated with receiving and managing appeals.

See also JUSTICE ADMINISTRATION - Administrative law - Administrative decision review: for the process of reconsidering a determination and handing down a new decision.'@en",'2015-06-11T04:21:35Z'^^xsd:dateTime,skos:Concept,'Administrative decision appeal'@en,,'Appeals'@en|'Administrative appeals'@en,<http://registry.it.csiro.au/def/agldwg/agift/administrative-law>,,"'Developing processes to support applications to an independent authority to have a determination or judgement reviewed. Includes activities associated with receiving and managing appeals.

See also JUSTICE ADMINISTRATION - Administrative law - Administrative decision review: for the process of reconsidering a determination and handing down a new decision.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Administrative decision appeal'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/administrative-decision-review>,'2003-08-25'^^xsd:date,"'Examining and reconsidering a determination or judgement made by a public authority. Responding to the advice of an independent body which may reverse or uphold an earlier decision.

See also JUSTICE ADMINISTRATION - Administrative law - Administrative decision appeal: for applications to have a determination reconsidered.'@en",'2015-06-11T02:25:13Z'^^xsd:dateTime,skos:Concept,'Administrative decision review'@en,,'Ombudsman'@en|'Independent review'@en,<http://registry.it.csiro.au/def/agldwg/agift/administrative-law>,,"'Examining and reconsidering a determination or judgement made by a public authority. Responding to the advice of an independent body which may reverse or uphold an earlier decision.

See also JUSTICE ADMINISTRATION - Administrative law - Administrative decision appeal: for applications to have a determination reconsidered.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Administrative decision review'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/administrative-law>,'2003-08-25'^^xsd:date,"'Administering the body of law that relates to the executive functions of government. Establishing the relationship between the government and the citizens of its jurisdiction. Regulating the powers, duties and organisation of public administration authorities.'@en",'2015-06-11T06:50:13Z'^^xsd:dateTime,skos:Concept,'Administrative law'@en,,'Public authorities'@en|'Tribunals'@en|'Executive government'@en,<http://registry.it.csiro.au/def/agldwg/agift/justice-administration>,,"'Administering the body of law that relates to the executive functions of government. Establishing the relationship between the government and the citizens of its jurisdiction. Regulating the powers, duties and organisation of public administration authorities.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,<http://registry.it.csiro.au/def/agldwg/agift/censorship-standards>|<http://registry.it.csiro.au/def/agldwg/agift/copyright-regulation>|<http://registry.it.csiro.au/def/agldwg/agift/freedom-of-information>|<http://registry.it.csiro.au/def/agldwg/agift/administrative-decision-appeal>|<http://registry.it.csiro.au/def/agldwg/agift/administrative-decision-review>|<http://registry.it.csiro.au/def/agldwg/agift/recordkeeping-standards>,'Administrative law'@en,<http://registry.it.csiro.au/def/agldwg/agift/deportation>|<http://registry.it.csiro.au/def/agldwg/agift/public-administration>,,
<http://registry.it.csiro.au/def/agldwg/agift/adoption-services>,'2003-08-28'^^xsd:date,"'Assisting parents seeking to legally take responsibility for a child, or birth parents wishing to have their child adopted. Includes advice on the legal aspects of adoption and monitoring the adoption of overseas children.

See also COMMUNITY SERVICES - Community support - Childcare services: for emergency and foster care.

See also COMMUNITY SERVICES - Community support - Family reunion programs: for helping birth parents and adopted children make contact.'@en",'2015-06-10T06:11:03Z'^^xsd:dateTime,skos:Concept,'Adoption services'@en,,'Overseas adoption services'@en|'Child adoption services'@en,<http://registry.it.csiro.au/def/agldwg/agift/community-support>,,"'Assisting parents seeking to legally take responsibility for a child, or birth parents wishing to have their child adopted. Includes advice on the legal aspects of adoption and monitoring the adoption of overseas children.

See also COMMUNITY SERVICES - Community support - Childcare services: for emergency and foster care.

See also COMMUNITY SERVICES - Community support - Family reunion programs: for helping birth parents and adopted children make contact.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Adoption services'@en,,,
<http://registry.it.csiro.au/def/agldwg/agift/adult-education-programs>,'2003-08-28'^^xsd:date,"'Administering training designed to meet the needs of specific groups of adult learners. Includes life skills, literacy programs and bridging courses to assist adults moving into school, tertiary or vocational education.

See also COMMUNITY SERVICES - Community support - Child and youth support: for parental education programs.

See also HEALTH CARE - Community health services - Health promotion: for basic information to support good health.'@en",'2005-03-09'^^xsd:date,skos:Concept,'Adult education programs'@en,,'Third age learning'@en|'Learning English'@en|'Adult literacy'@en|'Sex education'@en|'Health education'@en|'Bridging courses'@en,<http://registry.it.csiro.au/def/agldwg/agift/community-education>,,"'Administering training designed to meet the needs of specific groups of adult learners. Includes life skills, literacy programs and bridging courses to assist adults moving into school, tertiary or vocational education.

See also COMMUNITY SERVICES - Community support - Child and youth support: for parental education programs.

See also HEALTH CARE - Community health services - Health promotion: for basic information to support good health.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Adult education programs'@en,<http://registry.it.csiro.au/def/agldwg/agift/child-and-youth-support>|<http://registry.it.csiro.au/def/agldwg/agift/health-promotion>|<http://registry.it.csiro.au/def/agldwg/agift/primary-health-care>,,
<http://registry.it.csiro.au/def/agldwg/agift/adult-migrant-education>,'2003-08-28'^^xsd:date,"'Administering training designed to assist adults from various ethnic backgrounds to live and work in Australia. Includes English language programs, courses on Australian society and laws, learning to deal with government or health facilities.

See also EDUCATION AND TRAINING - School education - Special needs programs: for educational assistance to migrant children.

See also IMMIGRATION - Migrant services: for other programs to assist citizens from various ethnic backgrounds.'@en",'2015-06-11T06:51:15Z'^^xsd:dateTime,skos:Concept,'Adult migrant education'@en,,'Migrant education'@en|'English-as-a-second-language courses'@en|'Immigrant education'@en,<http://registry.it.csiro.au/def/agldwg/agift/community-education>,,"'Administering training designed to assist adults from various ethnic backgrounds to live and work in Australia. Includes English language programs, courses on Australian society and laws, learning to deal with government or health facilities.

See also EDUCATION AND TRAINING - School education - Special needs programs: for educational assistance to migrant children.

See also IMMIGRATION - Migrant services: for other programs to assist citizens from various ethnic backgrounds.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Adult migrant education'@en,<http://registry.it.csiro.au/def/agldwg/agift/interpreter-services>|<http://registry.it.csiro.au/def/agldwg/agift/migrant-settlement-programs>|<http://registry.it.csiro.au/def/agldwg/agift/migrant-services>,,
<http://registry.it.csiro.au/def/agldwg/agift/advertising-campaigns>,'2003-08-26'^^xsd:date,"'Delivering television, printed and electronic marketing, public relations and information programs to promote Australia or a particular region as a travel and tourism destination. Includes advertising campaigns to promote tourist events and local products.

See also COMMUNICATIONS - Government media: for managing media releases and dealing with journalists.

See also COMMUNICATIONS - Publishing: for producing information resources in print.'@en",'2015-06-11T08:05:48Z'^^xsd:dateTime,skos:Concept,'Advertising campaigns'@en,,'Tourist advertising'@en,<http://registry.it.csiro.au/def/agldwg/agift/tourist-event-promotion>,,"'Delivering television, printed and electronic marketing, public relations and information programs to promote Australia or a particular region as a travel and tourism destination. Includes advertising campaigns to promote tourist events and local products.

See also COMMUNICATIONS - Government media: for managing media releases and dealing with journalists.

See also COMMUNICATIONS - Publishing: for producing information resources in print.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Advertising campaigns'@en,<http://registry.it.csiro.au/def/agldwg/agift/government-media>|<http://registry.it.csiro.au/def/agldwg/agift/publishing>,,
<http://registry.it.csiro.au/def/agldwg/agift/advertising-standards>,'2003-08-28'^^xsd:date,"'Regulating the content and presentation of marketing material disseminated via any medium. Developing guidelines to guard against misleading or offensive advertising. Providing advice on the implementation of standards and monitoring compliance.

See also BUSINESS SUPPORT AND REGULATION - Business sponsorship: for restricting the advertisement of certain products at events.

See also BUSINESS SUPPORT AND REGULATION - Consumer protection: for handling complaints about advertising.

See also COMMUNICATIONS - Broadcasting - Broadcasting standards: for regulating the content of other material disseminated via mass media.

See also GOVERNANCE - Electoral matters - Election campaigning: for regulating the media activities of election candidates and political parties.'@en",'2015-06-11T07:22:41Z'^^xsd:dateTime,skos:Concept,'Advertising standards'@en,,'Television advertising standards'@en|'Commercial standards'@en|'Media advertising standards'@en|'Radio advertising standards'@en,<http://registry.it.csiro.au/def/agldwg/agift/communications>,,"'Regulating the content and presentation of marketing material disseminated via any medium. Developing guidelines to guard against misleading or offensive advertising. Providing advice on the implementation of standards and monitoring compliance.

See also BUSINESS SUPPORT AND REGULATION - Business sponsorship: for restricting the advertisement of certain products at events.

See also BUSINESS SUPPORT AND REGULATION - Consumer protection: for handling complaints about advertising.

See also COMMUNICATIONS - Broadcasting - Broadcasting standards: for regulating the content of other material disseminated via mass media.

See also GOVERNANCE - Electoral matters - Election campaigning: for regulating the media activities of election candidates and political parties.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Advertising standards'@en,<http://registry.it.csiro.au/def/agldwg/agift/election-campaigning>|<http://registry.it.csiro.au/def/agldwg/agift/censorship-standards>|<http://registry.it.csiro.au/def/agldwg/agift/consumer-protection>|<http://registry.it.csiro.au/def/agldwg/agift/business-sponsorship>,,
<http://registry.it.csiro.au/def/agldwg/agift/aged-care-services>,'2003-08-28'^^xsd:date,"'Managing social support and services for elderly persons and their families. Providing advice on rights to financial or other assistance such as residential care or medical services. Includes funding and support for community-based or volunteer programs providing aged care services.

See also COMMUNITY SERVICES - Community support - Veterans\' entitlements: for services to returned defence services personnel.

See also COMMUNITY SERVICES - Financial assistance: for monetary support to aged persons.

See also HEALTH CARE - Special needs services: for aged care health programs.

See also HEALTH CARE - Special needs services - Independent living services: for in-home care.

See also HEALTH CARE - Special needs services - Residential services: for live-in aged care facilities.'@en",'2015-06-11T08:07:56Z'^^xsd:dateTime,skos:Concept,'Aged care services'@en,,'Aged care standards'@en|'Geriatric services'@en|'Aged persons services'@en,<http://registry.it.csiro.au/def/agldwg/agift/community-support>,,"'Managing social support and services for elderly persons and their families. Providing advice on rights to financial or other assistance such as residential care or medical services. Includes funding and support for community-based or volunteer programs providing aged care services. 

See also COMMUNITY SERVICES - Community support - Veterans\' entitlements: for services to returned defence services personnel.

See also COMMUNITY SERVICES - Financial assistance: for monetary support to aged persons.

See also HEALTH CARE - Special needs services: for aged care health programs.

See also HEALTH CARE - Special needs services - Independent living services: for in-home care.

See also HEALTH CARE - Special needs services - Residential services: for live-in aged care facilities.'@en",<http://registry.it.csiro.au/def/agldwg/agift>,,'Aged care services'@en,<http://registry.it.csiro.au/def/agldwg/agift/special-needs-services>|<http://registry.it.csiro.au/def/agldwg/agift/residential-services>|<http://registry.it.csiro.au/def/agldwg/agift/independent-living-services>,,
