CODE_DOMAIN,CODE_VALUE,CODE_DESC,uri,uri2,uri3,uri4,preflabel,preflabel2,preflabel3
C_O_ASC_FAM,-,Not recorded,http://registry.it.csiro.au/def/soils/asc-family/,not recorded,not-recorded,http://registry.it.csiro.au/def/soils/asc-family/not-recorded,"""",@en,"""Not recorded""@en"
C_O_ASC_FAM,A,Thin,http://registry.it.csiro.au/def/soils/asc-family/,thin,thin,http://registry.it.csiro.au/def/soils/asc-family/thin,"""",@en,"""Thin""@en"
C_O_ASC_FAM,B,Medium,http://registry.it.csiro.au/def/soils/asc-family/,medium,medium,http://registry.it.csiro.au/def/soils/asc-family/medium,"""",@en,"""Medium""@en"
C_O_ASC_FAM,C,Thick,http://registry.it.csiro.au/def/soils/asc-family/,thick,thick,http://registry.it.csiro.au/def/soils/asc-family/thick,"""",@en,"""Thick""@en"
C_O_ASC_FAM,D,Very thick,http://registry.it.csiro.au/def/soils/asc-family/,very thick,very-thick,http://registry.it.csiro.au/def/soils/asc-family/very-thick,"""",@en,"""Very thick""@en"
C_O_ASC_FAM,E,Non-gravelly,http://registry.it.csiro.au/def/soils/asc-family/,non-gravelly,non-gravelly,http://registry.it.csiro.au/def/soils/asc-family/non-gravelly,"""",@en,"""Non-gravelly""@en"
C_O_ASC_FAM,F,Slightly gravelly,http://registry.it.csiro.au/def/soils/asc-family/,slightly gravelly,slightly-gravelly,http://registry.it.csiro.au/def/soils/asc-family/slightly-gravelly,"""",@en,"""Slightly gravelly""@en"
C_O_ASC_FAM,G,Gravelly,http://registry.it.csiro.au/def/soils/asc-family/,gravelly,gravelly,http://registry.it.csiro.au/def/soils/asc-family/gravelly,"""",@en,"""Gravelly""@en"
C_O_ASC_FAM,H,Moderately gravelly,http://registry.it.csiro.au/def/soils/asc-family/,moderately gravelly,moderately-gravelly,http://registry.it.csiro.au/def/soils/asc-family/moderately-gravelly,"""",@en,"""Moderately gravelly""@en"
C_O_ASC_FAM,I,Very gravelly,http://registry.it.csiro.au/def/soils/asc-family/,very gravelly,very-gravelly,http://registry.it.csiro.au/def/soils/asc-family/very-gravelly,"""",@en,"""Very gravelly""@en"
C_O_ASC_FAM,J,Peaty,http://registry.it.csiro.au/def/soils/asc-family/,peaty,peaty,http://registry.it.csiro.au/def/soils/asc-family/peaty,"""",@en,"""Peaty""@en"
C_O_ASC_FAM,K,Sandy,http://registry.it.csiro.au/def/soils/asc-family/,sandy,sandy,http://registry.it.csiro.au/def/soils/asc-family/sandy,"""",@en,"""Sandy""@en"
C_O_ASC_FAM,L,Loamy,http://registry.it.csiro.au/def/soils/asc-family/,loamy,loamy,http://registry.it.csiro.au/def/soils/asc-family/loamy,"""",@en,"""Loamy""@en"
C_O_ASC_FAM,M,Clay-loamy,http://registry.it.csiro.au/def/soils/asc-family/,clay-loamy,clay-loamy,http://registry.it.csiro.au/def/soils/asc-family/clay-loamy,"""",@en,"""Clay-loamy""@en"
C_O_ASC_FAM,N,Silty,http://registry.it.csiro.au/def/soils/asc-family/,silty,silty,http://registry.it.csiro.au/def/soils/asc-family/silty,"""",@en,"""Silty""@en"
C_O_ASC_FAM,O,Clayey,http://registry.it.csiro.au/def/soils/asc-family/,clayey,clayey,http://registry.it.csiro.au/def/soils/asc-family/clayey,"""",@en,"""Clayey""@en"
C_O_ASC_FAM,P,Granular,http://registry.it.csiro.au/def/soils/asc-family/,granular,granular,http://registry.it.csiro.au/def/soils/asc-family/granular,"""",@en,"""Granular""@en"
C_O_ASC_FAM,Q,Fine,http://registry.it.csiro.au/def/soils/asc-family/,fine,fine,http://registry.it.csiro.au/def/soils/asc-family/fine,"""",@en,"""Fine""@en"
C_O_ASC_FAM,R,Medium fine,http://registry.it.csiro.au/def/soils/asc-family/,medium fine,medium-fine,http://registry.it.csiro.au/def/soils/asc-family/medium-fine,"""",@en,"""Medium fine""@en"
C_O_ASC_FAM,S,Very fine,http://registry.it.csiro.au/def/soils/asc-family/,very fine,very-fine,http://registry.it.csiro.au/def/soils/asc-family/very-fine,"""",@en,"""Very fine""@en"
C_O_ASC_FAM,T,Very shallow,http://registry.it.csiro.au/def/soils/asc-family/,very shallow,very-shallow,http://registry.it.csiro.au/def/soils/asc-family/very-shallow,"""",@en,"""Very shallow""@en"
C_O_ASC_FAM,U,Shallow,http://registry.it.csiro.au/def/soils/asc-family/,shallow,shallow,http://registry.it.csiro.au/def/soils/asc-family/shallow,"""",@en,"""Shallow""@en"
C_O_ASC_FAM,V,Moderately deep,http://registry.it.csiro.au/def/soils/asc-family/,moderately deep,moderately-deep,http://registry.it.csiro.au/def/soils/asc-family/moderately-deep,"""",@en,"""Moderately deep""@en"
C_O_ASC_FAM,W,Deep,http://registry.it.csiro.au/def/soils/asc-family/,deep,deep,http://registry.it.csiro.au/def/soils/asc-family/deep,"""",@en,"""Deep""@en"
C_O_ASC_FAM,X,Very deep,http://registry.it.csiro.au/def/soils/asc-family/,very deep,very-deep,http://registry.it.csiro.au/def/soils/asc-family/very-deep,"""",@en,"""Very deep""@en"
C_O_ASC_FAM,Y,Giant,http://registry.it.csiro.au/def/soils/asc-family/,giant,giant,http://registry.it.csiro.au/def/soils/asc-family/giant,"""",@en,"""Giant""@en"
