CODE_DOMAIN,CODE_VALUE,CODE_DESC,uri,uri2,uri3,uri4,pref labe
C_CF_SHAPE,A,Angular,http://registry.it.csiro.au/def/soils/cf-shape/,angular,angular,http://registry.it.csiro.au/def/soils/cf-shape/angular,'Angular'@en
C_CF_SHAPE,AP,Angular platy,http://registry.it.csiro.au/def/soils/cf-shape/,angular platy,angular-platy,http://registry.it.csiro.au/def/soils/cf-shape/angular platy,'Angular platy'@en
C_CF_SHAPE,AT,Angular tabular,http://registry.it.csiro.au/def/soils/cf-shape/,angular tabular,angular-tabular,http://registry.it.csiro.au/def/soils/cf-shape/angular tabular,'Angular tabular'@en
C_CF_SHAPE,R,Rounded,http://registry.it.csiro.au/def/soils/cf-shape/,rounded,rounded,http://registry.it.csiro.au/def/soils/cf-shape/rounded,'Rounded'@en
C_CF_SHAPE,RP,Rounded platy,http://registry.it.csiro.au/def/soils/cf-shape/,rounded platy,rounded-platy,http://registry.it.csiro.au/def/soils/cf-shape/rounded platy,'Rounded platy'@en
C_CF_SHAPE,RT,Rounded tabular,http://registry.it.csiro.au/def/soils/cf-shape/,rounded tabular,rounded-tabular,http://registry.it.csiro.au/def/soils/cf-shape/rounded tabular,'Rounded tabular'@en
C_CF_SHAPE,S,Subangular,http://registry.it.csiro.au/def/soils/cf-shape/,subangular,subangular,http://registry.it.csiro.au/def/soils/cf-shape/subangular,'Subangular'@en
C_CF_SHAPE,SP,Subangular platy,http://registry.it.csiro.au/def/soils/cf-shape/,subangular platy,subangular-platy,http://registry.it.csiro.au/def/soils/cf-shape/subangular platy,'Subangular platy'@en
C_CF_SHAPE,ST,Subangular tabular,http://registry.it.csiro.au/def/soils/cf-shape/,subangular tabular,subangular-tabular,http://registry.it.csiro.au/def/soils/cf-shape/subangular tabular,'Subangular tabular'@en
C_CF_SHAPE,U,Subrounded,http://registry.it.csiro.au/def/soils/cf-shape/,subrounded,subrounded,http://registry.it.csiro.au/def/soils/cf-shape/subrounded,'Subrounded'@en
C_CF_SHAPE,UP,Subrounded platy,http://registry.it.csiro.au/def/soils/cf-shape/,subrounded platy,subrounded-platy,http://registry.it.csiro.au/def/soils/cf-shape/subrounded platy,'Subrounded platy'@en
C_CF_SHAPE,UT,Subrounded tabular,http://registry.it.csiro.au/def/soils/cf-shape/,subrounded tabular,subrounded-tabular,http://registry.it.csiro.au/def/soils/cf-shape/subrounded tabular,'Subrounded tabular'@en
