agency_code,proj_code,s_id,o_id,h_no,h_desig_num_pref,h_desig_master,h_desig_subdiv,h_desig_suffix,h_upper_depth,h_lower_depth,h_texture,h_texture_qual,h_soil_water_stat,h_stickiness,h_plasticity_type,h_plasticity_deg,h_water_repellence,h_carbonate_eff,h_bound_distinct,h_bound_shape,h_permeability,h_notes,h_ec,h_salinity_depth,h_dispersion
799,AS1,NT34,1,3,NULL,NULL,NULL,NULL,0.42,0.56,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT34,1,4,NULL,NULL,NULL,NULL,0.56,0.81,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT34,1,5,NULL,NULL,NULL,NULL,0.81,1.01,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT34,1,6,NULL,NULL,NULL,NULL,1.11,1.35,LS,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT34,1,7,NULL,NULL,NULL,NULL,1.35,1.47,LS,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,1,NULL,NULL,NULL,NULL,0,0.08,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,2,NULL,NULL,NULL,NULL,0.08,0.15,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,3,NULL,NULL,NULL,NULL,0.15,0.4,L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,4,NULL,NULL,NULL,NULL,0.4,0.61,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,5,NULL,NULL,NULL,NULL,0.61,0.96,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,6,NULL,NULL,NULL,NULL,0.96,1.32,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT35,1,7,NULL,NULL,NULL,NULL,1.32,1.6,CL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,1,NULL,NULL,NULL,NULL,0,0.08,SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,2,NULL,NULL,NULL,NULL,0.08,0.29,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,3,NULL,NULL,NULL,NULL,0.29,0.61,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,4,NULL,NULL,NULL,NULL,0.61,0.89,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,5,NULL,NULL,NULL,NULL,0.89,1.19,SMC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,6,NULL,NULL,NULL,NULL,1.37,1.57,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
799,AS1,NT36,1,7,NULL,NULL,NULL,NULL,1.57,1.83,MC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
