skos:notation,CODE_DESC,URI one,URI two,URI three,rdf:type,rdfs:label one,rdfs:label two,rdfs:label three,rdfs:label four,skos:definition
AP,Sapric peat,sapric-peat,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/sapric-peat,skos:Concept,Sapric peat,',@en,'Sapric peat'@en,Sapric peat
CFS,Clayey fine sand,clayey-fine-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clayey-fine-sand,skos:Concept,Clayey fine sand,',@en,'Clayey fine sand'@en,Clayey fine sand
CKS,Clayey coarse sand,clayey-coarse-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clayey-coarse-sand,skos:Concept,Clayey coarse sand,',@en,'Clayey coarse sand'@en,Clayey coarse sand
CL,Clay loam,clay-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clay-loam,skos:Concept,Clay loam,',@en,'Clay loam'@en,Clay loam
CLFS,Clay loam fine sandy,clay-loam-fine-sandy,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clay-loam-fine-sandy,skos:Concept,Clay loam fine sandy,',@en,'Clay loam fine sandy'@en,Clay loam fine sandy
CLKS,Clay loam coarse sandy,clay-loam-coarse-sandy,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clay-loam-coarse-sandy,skos:Concept,Clay loam coarse sandy,',@en,'Clay loam coarse sandy'@en,Clay loam coarse sandy
CLMS,Clay loam medium sandy,clay-loam-medium-sandy,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clay-loam-medium-sandy,skos:Concept,Clay loam medium sandy,',@en,'Clay loam medium sandy'@en,Clay loam medium sandy
CLS,Clay loam sandy,clay-loam-sandy,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clay-loam-sandy,skos:Concept,Clay loam sandy,',@en,'Clay loam sandy'@en,Clay loam sandy
CMS,Clayey medium sand,clayey-medium-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clayey-medium-sand,skos:Concept,Clayey medium sand,',@en,'Clayey medium sand'@en,Clayey medium sand
CP,Clayey peat,clayey-peat,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clayey-peat,skos:Concept,Clayey peat,',@en,'Clayey peat'@en,Clayey peat
CS,Clayey sand,clayey-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/clayey-sand,skos:Concept,Clayey sand,',@en,'Clayey sand'@en,Clayey sand
FS,Fine sand,fine-sand,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/fine-sand,skos:Concept,Fine sand,',@en,'Fine sand'@en,Fine sand
FSC,Fine sandy clay,fine-sandy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/fine-sandy-clay,skos:Concept,Fine sandy clay,',@en,'Fine sandy clay'@en,Fine sandy clay
FSCL,Fine sandy clay loam,fine-sandy-clay-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/fine-sandy-clay-loam,skos:Concept,Fine sandy clay loam,',@en,'Fine sandy clay loam'@en,Fine sandy clay loam
FSHC,Fine sandy heavy clay,fine-sandy-heavy-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/fine-sandy-heavy-clay,skos:Concept,Fine sandy heavy clay,',@en,'Fine sandy heavy clay'@en,Fine sandy heavy clay
FSL,Fine sandy loam,fine-sandy-loam,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/fine-sandy-loam,skos:Concept,Fine sandy loam,',@en,'Fine sandy loam'@en,Fine sandy loam
FSLC,Fine sandy light clay,fine-sandy-light-clay,http://registry.it.csiro.au/def/soils/texture/,http://registry.it.csiro.au/def/soils/texture/fine-sandy-light-clay,skos:Concept,Fine sandy light clay,',@en,'Fine sandy light clay'@en,Fine sandy light clay
