CODE_VALUE	CODE_DESC	URI one	URI two	URI three	skos:label one
AP	Sapric peat	sapric-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/sapric-peat	sapric-peat
CFS	Clayey fine sand	clayey-fine-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clayey-fine-sand	
CKS	Clayey coarse sand	clayey-coarse-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clayey-coarse-sand	
CL	Clay loam	clay-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clay-loam	
CLFS	Clay loam fine sandy	clay-loam-fine-sandy	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clay-loam-fine-sandy	
CLKS	Clay loam coarse sandy	clay-loam-coarse-sandy	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clay-loam-coarse-sandy	
CLMS	Clay loam medium sandy	clay-loam-medium-sandy	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clay-loam-medium-sandy	
CLS	Clay loam sandy	clay-loam-sandy	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clay-loam-sandy	
CMS	Clayey medium sand	clayey-medium-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clayey-medium-sand	
CP	Clayey peat	clayey-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clayey-peat	
CS	Clayey sand	clayey-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/clayey-sand	
FS	Fine sand	fine-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sand	
FSC	Fine sandy clay	fine-sandy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-clay	
FSCL	Fine sandy clay loam	fine-sandy-clay-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-clay-loam	
FSHC	Fine sandy heavy clay	fine-sandy-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-heavy-clay	
FSL	Fine sandy loam	fine-sandy-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-loam	
FSLC	Fine sandy light clay	fine-sandy-light-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-light-clay	
FSLMC	Fine sandy light medium clay	fine-sandy-light-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-light-medium-clay	
FSMC	Fine sandy medium clay	fine-sandy-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-medium-clay	
FSMHC	Fine sandy medium heavy clay	fine-sandy-medium-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-sandy-medium-heavy-clay	
FSS	Fine pure sand	fine-pure-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fine-pure-sand	
GP	Granular peat	granular-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/granular-peat	
GR	Gravel	gravel	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/gravel	
HC	Heavy clay	heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/heavy-clay	
HP	Hemic peat	hemic-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/hemic-peat	
IP	Fibric peat	fibric-peat	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/fibric-peat	
KS	Coarse sand	coarse-sand	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sand	
KSC	Coarse sandy clay	coarse-sandy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay	
KSCL	Coarse sandy clay loam	coarse-sandy-clay-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sandy-clay-loam	
KSHC	Coarse sandy heavy clay	coarse-sandy-heavy-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sandy-heavy-clay	
KSL	Coarse sandy loam	coarse-sandy-loam	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sandy-loam	
KSLC	Coarse sandy light clay	coarse-sandy-light-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-clay	
KSLMC	Coarse sandy light medium clay	coarse-sandy-light-medium-clay	http://registry.it.csiro.au/def/soils/texture/	http://registry.it.csiro.au/def/soils/texture/coarse-sandy-light-medium-clay	
